UruA10412
 1.0000000     0.0000127
 0.9925205     0.0049843
 0.9809343     0.0128212
 0.9683372     0.0202316
 0.9549342     0.0273291
 0.9420525     0.0330954
 0.9282857     0.0376068
 0.9116146     0.0434745
 0.8918652     0.0504894
 0.8700702     0.0574490
 0.8454792     0.0645233
 0.8183422     0.0719161
 0.7896550     0.0795691
 0.7611403     0.0870831
 0.7334795     0.0940329
 0.7055620     0.1006094
 0.6771572     0.1069672
 0.6483663     0.1131461
 0.6194255     0.1191256
 0.5904485     0.1248914
 0.5620843     0.1303209
 0.5344787     0.1351905
 0.5067738     0.1396087
 0.4789900     0.1436644
 0.4516817     0.1472517
 0.4249009     0.1502856
 0.3987559     0.1527290
 0.3734927     0.1544705
 0.3487957     0.1554615
 0.3245794     0.1557018
 0.3007736     0.1551905
 0.2779002     0.1540210
 0.2563964     0.1520141
 0.2354318     0.1489843
 0.2139474     0.1449065
 0.1932980     0.1403324
 0.1740172     0.1348856
 0.1540629     0.1282778
 0.1355054     0.1213293
 0.1170268     0.1131440
 0.0988639     0.1043382
 0.0824985     0.0955345
 0.0678868     0.0866170
 0.0550338     0.0777930
 0.0440247     0.0692210
 0.0347094     0.0609579
 0.0268510     0.0532344
 0.0204505     0.0462549
 0.0153892     0.0397956
 0.0114396     0.0336539
 0.0081124     0.0279827
 0.0054009     0.0228393
 0.0034672     0.0178184
 0.0018762     0.0130619
 0.0008052     0.0084297
 0.0001368     0.0040255
 0.0000096    -0.0001597
 0.0003590    -0.0040138
 0.0013271    -0.0074518
 0.0030725    -0.0103687
 0.0059009    -0.0121432
 0.0091034    -0.0134377
 0.0127320    -0.0139288
 0.0167034    -0.0144949
 0.0211850    -0.0148583
 0.0262456    -0.0150999
 0.0320159    -0.0149882
 0.0387524    -0.0144876
 0.0467733    -0.0139617
 0.0563690    -0.0134263
 0.0678443    -0.0123392
 0.0815150    -0.0105363
 0.0967910    -0.0083147
 0.1124114    -0.0063040
 0.1284793    -0.0033421
 0.1448378    -0.0001861
 0.1629688     0.0025295
 0.1834153     0.0063123
 0.2065145     0.0109171
 0.2309763     0.0153054
 0.2563213     0.0191233
 0.2837805     0.0231206
 0.3111500     0.0269757
 0.3390945     0.0303093
 0.3680840     0.0335579
 0.3963647     0.0364567
 0.4243000     0.0388749
 0.4525899     0.0408304
 0.4823117     0.0425989
 0.5119692     0.0442985
 0.5404309     0.0456721
 0.5683803     0.0465128
 0.5971738     0.0469517
 0.6263690     0.0471600
 0.6553368     0.0470941
 0.6840468     0.0467235
 0.7122603     0.0460219
 0.7397779     0.0449287
 0.7666109     0.0433590
 0.7930182     0.0412082
 0.8197914     0.0384265
 0.8468664     0.0351497
 0.8734596     0.0315235
 0.8990091     0.0275909
 0.9216086     0.0237507
 0.9413503     0.0192117
 0.9608555     0.0138406
 0.9778607     0.0087520
 0.9918198     0.0036479
 1.0000000     0.0000127
